Time,Count,Rate
16:20:09,2,12.0
16:20:19,10,60.0
16:20:29,13,78.0
16:20:39,3,18.0
16:20:49,0,0.0
16:20:59,7,42.0
16:21:09,2,12.0
16:21:19,0,0.0
16:23:41,1,6.0
16:23:51,13,78.0
16:24:01,12,72.0
16:24:11,10,60.0
16:24:21,0,0.0
16:24:31,0,0.0
16:24:41,0,0.0
16:24:51,4,24.0
16:25:01,11,66.0
16:25:11,2,12.0
16:25:21,1,6.0
16:25:31,2,12.0
16:25:41,11,66.0
16:25:51,10,60.0
