Time,Switch,Count,Rate
14:58:12,1,0,-0.0
14:58:13,1,0,-0.0
14:58:13,1,0,-0.0
14:58:14,1,0,-0.0
14:58:14,1,0,-0.0
14:58:15,0,0,-0.0
14:58:15,0,0,-0.0
14:58:16,0,0,-0.0
14:58:16,0,0,-0.0
14:58:17,0,0,-0.0
14:58:17,0,0,-0.0
14:58:18,1,1,-10.882273311809927
14:58:18,1,1,-9.975478527836442
14:58:19,1,1,-9.207731475119195
14:58:19,1,1,-8.54999369091261
14:58:20,1,1,-7.979953263389607
14:58:20,1,1,-7.481181127600187
14:58:21,1,1,-7.041079218151037
14:58:21,1,1,-6.649893400401031
14:58:22,1,1,-6.299982553887996
14:58:22,1,1,-5.984999772403845
14:58:23,1,1,-5.699982625418219
14:58:23,1,1,-5.440870088686413
14:58:24,0,1,-5.204301811744988
14:58:24,1,2,-9.974963720304595
14:58:25,0,2,-9.575977317491853
14:58:25,1,3,-13.81148704900143
14:58:26,0,3,-13.299484688486396
14:58:26,1,4,-17.099317554709824
14:58:27,1,4,-16.509584897580044
14:58:27,1,4,-15.959209431447603
14:58:28,0,4,-15.444510477904188
14:58:28,0,4,-14.961893901499264
14:58:29,0,4,-14.5085000797754
14:58:29,0,4,-14.081743565493197
14:58:30,0,4,-13.679408035050535
14:58:30,1,5,-16.62441391859096
14:58:31,0,5,-16.175104423543427
14:58:31,0,5,-15.749439497272073
14:58:32,0,5,-15.34560300702261
14:58:32,1,6,-17.954334059774954
14:58:33,0,6,-17.516397666306162
14:58:33,0,6,-17.099336144173297
14:58:34,0,6,-16.70175117862453
14:58:34,1,7,-19.04249527896053
14:58:35,0,7,-18.619333010963224
14:58:35,0,7,-18.214523154785912
14:58:36,0,7,-17.826975806695224
14:58:36,1,8,-19.94930296205245
14:58:37,1,8,-19.54219490761752
14:58:37,0,8,-19.151337212224124
14:58:38,0,8,-18.775779258156618
14:58:38,0,8,-18.414658312485734
14:58:39,1,9,-20.325587326165426
14:58:39,1,9,-19.9491541130099
14:58:40,1,9,-19.586514234264577
14:58:40,1,9,-19.236763618785208
14:58:41,0,9,-18.899276143499357
14:58:41,1,10,-20.63713224680251
14:58:42,0,10,-20.287334218143315
14:58:42,1,11,-21.944217906737364
14:58:43,0,11,-21.584484362878058
14:58:43,0,11,-21.23633989345455
14:58:44,0,11,-20.899258439031318
14:58:44,1,12,-22.442936755418103
14:58:45,0,12,-22.09764143463482
14:58:45,0,12,-21.76282712453076
14:58:46,0,12,-21.438060430605955
14:58:46,0,12,-21.122803868282848
14:58:47,1,13,-22.551400734620334
14:58:47,1,13,-22.22922791360925
14:58:48,1,13,-21.916126989368784
14:58:48,1,13,-21.61177578446602
14:58:49,1,13,-21.315738015174116
14:58:49,1,13,-21.02768048641604
14:58:50,1,13,-20.74730849197211
14:58:50,1,13,-20.474306839471264
14:58:51,0,13,-20.20839416773257
14:58:51,0,13,-19.949279286558177
14:58:52,0,13,-19.696814512655763
14:58:52,0,13,-19.450617839292224
14:58:53,0,13,-19.21047934931546
14:58:53,1,14,-20.43590016563378
14:58:54,1,14,-20.18967287491626
14:58:54,1,14,-19.949330664993646
14:58:55,1,14,-19.71464275764839
14:58:55,1,14,-19.485402130970964
14:58:56,1,14,-19.26142172946126
14:58:56,0,14,-19.04239431294282
14:58:57,0,14,-18.828429288689016
14:58:57,0,14,-18.6192030272815
14:58:58,0,14,-18.41461401481492
14:58:58,0,14,-18.214456767646464
14:58:59,1,15,-19.305630099944732
14:58:59,1,15,-19.100249266852227
14:59:00,1,15,-18.899189817923062
14:59:00,1,15,-18.70235616506062
14:59:01,1,15,-18.509556306224784
14:59:01,1,15,-18.32069720221356
14:59:02,0,15,-18.135574652178416
14:59:02,0,15,-17.954067372850968
14:59:03,0,15,-17.776143625878333
14:59:03,0,15,-17.601870353906524
14:59:04,1,16,-18.593082006876845
14:59:04,1,16,-18.414301579121002
14:59:05,1,16,-18.23877672511146
14:59:05,1,16,-18.06671611967643
14:59:06,1,16,-17.89787153873948
14:59:06,1,16,-17.732190664412993
14:59:07,0,16,-17.569611404067285
14:59:07,0,16,-17.40989130493906
14:59:08,0,16,-17.253053046387745
14:59:08,0,16,-17.098862706369516
14:59:09,0,16,-16.947542759156164
14:59:09,0,16,-16.798855866155385
14:59:10,1,17,-17.693587138810962
14:59:10,1,17,-17.541058018211
14:59:11,1,17,-17.391136273145165
14:59:11,1,17,-17.243758671526336
14:59:12,1,17,-17.098856487440376
14:59:12,1,17,-16.956405373873135
14:59:13,1,17,-16.816289340718605
14:59:13,0,17,-16.67847654102237
14:59:14,0,17,-16.542895550764353
14:59:14,0,17,-16.40948925582153
14:59:15,0,17,-16.278209034125613
14:59:15,1,18,-17.098959263607945
14:59:16,0,18,-16.964333414361647
14:59:16,1,19,-17.76690293784989
14:59:17,1,19,-17.62917560222042
14:59:17,1,19,-17.4935569633318
14:59:18,1,19,-17.360021399977445
14:59:18,1,19,-17.22852643860674
